timestamp,price,market_cap,volume,coin
1774857733191,617.7435411047758,84253266949.44208,828908463.6309469,binancecoin
1774861233922,619.6505151708798,84498663596.97568,892645184.515337,binancecoin
1774864942097,617.4419675550986,84194943984.98125,875633013.7653694,binancecoin
1774868626665,617.5597219788916,84227326814.7866,857823339.5543237,binancecoin
1774872166373,617.2873689481189,84173039813.37961,920753318.4256268,binancecoin
1774875755358,618.9597842626554,84419101700.87265,948747304.5062621,binancecoin
1774879336949,616.3912420054913,84049367875.20236,910302092.8766471,binancecoin
1774882931692,616.7342669811915,83872966603.59113,821947894.4060578,binancecoin
1774886559808,618.1003533101298,84343058742.22148,973427493.4746232,binancecoin
1774890135883,615.7220027361296,83888696284.7812,989781686.3177495,binancecoin
1774893716695,612.9152196585221,83604783633.76123,998213270.5765541,binancecoin
1774897374400,610.2345132894415,83189330865.35173,1009949413.2916242,binancecoin
1774900939729,609.9176740328509,83181684748.26546,1027881421.1074506,binancecoin
1774904567742,609.8054209417846,83124056177.17447,998136505.7929398,binancecoin
1774908104878,612.1644126035023,83474008076.02943,1041656416.1722468,binancecoin
1774911774984,610.7410813975595,83273583444.83928,958412961.0732569,binancecoin
1774915332845,608.6013327334239,82993307407.98569,914704817.990499,binancecoin
1774918932796,610.60939532041,83260851979.69206,905372945.6278011,binancecoin
1774922583034,616.2257146037649,84026786957.34528,919197683.0119201,binancecoin
1774926136994,614.769770714586,83828095614.07999,932067246.3968192,binancecoin
1774929777036,613.0297669439376,83609494288.70602,911316763.2204981,binancecoin
1774933211023,611.9505160205896,83477359383.41008,883191228.377805,binancecoin
1774937004392,612.855021325899,83566735520.72209,861381059.6661292,binancecoin
1774940592868,611.7383095548345,83425833203.30855,895322706.8797547,binancecoin
1774944023529,610.4681625826535,83251900344.31453,889646231.7390951,binancecoin
1774947710632,606.8483355234162,82741442382.5704,878868037.7411802,binancecoin
1774951410041,599.5064133440393,81747165378.95682,762487483.5855948,binancecoin
1774954989777,602.276987732225,82142624941.80585,926628944.7201289,binancecoin
1774958558713,604.6614757260039,82449233162.08406,916980086.8384583,binancecoin
1774962140429,605.6984928086717,82608887267.62009,920657704.4046619,binancecoin
1774965766433,611.2694141319257,83342428857.77927,947760926.3789866,binancecoin
1774969232484,607.6720576280158,82734807825.5566,967514621.5807978,binancecoin
1774972917429,607.5742112138603,83115812889.64185,1010473617.4511927,binancecoin
1774976549582,613.4127889139095,83662670621.52638,1048572820.9305646,binancecoin
1774980055300,613.5607414916124,83736680226.10486,1104657332.6105707,binancecoin
1774983742592,615.2386530413431,83866779367.08907,1114025160.3642726,binancecoin
1774987373498,615.0651510285722,83863758178.7785,1108765964.8869555,binancecoin
1774990931430,618.4611589577798,84336395048.76883,1118460406.2890925,binancecoin
1774994549356,617.4438707012192,84210045943.08995,1105788148.7497027,binancecoin
1774998185450,616.5329450111664,84060840264.24463,1106307634.3457265,binancecoin
1775001761734,617.0623238027592,84127011889.2273,1111409083.0490866,binancecoin
1775005395270,618.687594450378,84352248649.50334,1114157050.5792189,binancecoin
1775008890586,615.113911196229,83919534344.57947,1098933244.0312667,binancecoin
1775012513169,614.3437545441818,83768613991.13223,1081128184.394378,binancecoin
1775016225685,616.0808992638711,84007231802.64412,1094470991.8164642,binancecoin
1775019827769,615.6282867009578,83957686885.67964,1093487178.2641428,binancecoin
1775023360099,617.05055791861,84140134259.65068,1146161776.642225,binancecoin
1775027019246,619.3052382294619,84405950478.59573,1215709767.5901575,binancecoin
1775030526449,616.1033178542573,84010045193.75108,1215941782.4809227,binancecoin
1775034165806,615.5821436762425,83932834406.75409,1202779694.5714064,binancecoin
1775037681152,615.3486904773689,83898531331.47054,1160834084.6697953,binancecoin
